Hostname|Last Known Location|IPv4|IPv6|Operating System|Physical/Virtual Machine|Owner|Administrator|U of A Tag Number|Make/Model|Processor|RAM (GB)|Storage Space (GB)|GPU|Serial Number|Status|Rack Number|SRIT Access|Power Up|Support Team|Department|Comments
temp41-9|czar|129.128.41.209||Linux openSUSE 13.1|virtual|jmartin|||||||||temp|||||Computer Science|openSUSE 13.1 template
temp184-0|CSC231|129.128.184.200||Linux RHEL Server 5.6|regular|rod|||||||||missing|B||5||Computer Science|in process of being wiped for return to Paul Lu (botha-c16)
temp184-1||129.128.184.201|| |||||||||||temp|||5||Computer Science|
temp184-2||129.128.184.202|| ||bmw|||||||||temp|||5||Computer Science|PXE Testing
temp184-3||129.128.184.203|| |||||||||||temp|||5||Computer Science|
temp184-4||129.128.184.204|| |||||||||||temp|||5||Computer Science|
temp184-5||129.128.184.205|| |||||||||||temp|||5||Computer Science|
temp184-6||129.128.184.206|| |||||||||||temp|||5||Computer Science|
temp184-7||129.128.184.207|| |||||||||||temp|||5||Computer Science|
temp184-8||129.128.184.208|| |||||||||||temp|||5||Computer Science|
temp184-9||129.128.184.209|| |||||||||||temp|||5||Computer Science|
theano|ATH452|||Windows 10|regular|stroulia|stroulia|||||||||||||Computer Science|
theia|CSC353|129.128.25.134||Linux Ubuntu 14|regular||karteek|||Intel i7 2600|16|||||||||Computer Science|
therien|ATH301|129.128.4.52||MacOS 10.11.6|regular|hayward|hayward|524173||Intel Core2 E8400|8|||W87350Y3ZCT|active|||5||Computer Science|
thickwood|CSC351|129.128.25.15||Windows 7|regular||mpolak||Apple iMac 24|Intel Core2 @ 2.8GHz|2|||||||||Computer Science|
thorhild|CSC217|129.128.23.153||Linux WPS Ubuntu 16.04|regular||hayward|510085|Dell XPS 8500|Intel i7 3770 @ 3.4GHz|16|||ASC05984|active|||5||Computer Science|new machine old case
thorsby|CSC217|129.128.23.200||Linux WPS Ubuntu 16.04|regular||hayward|no-tag||Intel i5 6400|24|||350K6J1|active|||5||Computer Science|
tofield|CSC217|129.128.23.132||Linux WPS Ubuntu 16.04|regular||hayward|512198||Intel i7 920|8|||ASC05805|active|||5||Computer Science|new machine old case
torrington|CSC217|129.128.23.28||Linux WPS Ubuntu 16.04|regular||hayward|no-tag||Intel i5 6400|24|||7BM7HK1|active|||5||Computer Science|
tove|CSC305|129.128.184.28||OpenBSD unknown|regular|sutton|rshariff|||Intel i7 860 @ 2.8GHz|8||||active|||5||Computer Science|NAT gateway to local robot wireless network SSID critterbot
trochu|CSC217|129.128.23.88||MacOS 10.6.3|regular||hayward|549648||||||W8016FHZ5PC|active|||5||Computer Science|
tulliby|CSC217|129.128.23.228||MacOS 10.6.3|regular||hayward|549649|Apple iMac|Intel Core2 @ 3.1GHz|4|||W8016FGE5PC|active|||5||Computer Science|Inventory tag appears to be incorrect.
u16-gold|czar|129.128.243.71|| |virtual|johnb|||Apple iMac|Intel Core2 @ 3.1GHz|4||||active|||5||Computer Science|Ubuntu 16.04 development
u16-rch-test|czar|129.128.21.254||Linux WPS Ubuntu 16.04|virtual|johnb|||||||||active|||5||Computer Science|Ubuntu 16.04 research domain testing
ua01|CSC218|129.128.29.1||Linux WPS Ubuntu 16.04|regular|dept|tst|||||||2H6TPC1|active|||5|WPS|Computer Science|UGrad
ua02|CSC220|129.128.29.2||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||FD6TPC1|active|||5|WPS|Computer Science|UGrad
ua03|CSC220|129.128.29.3||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||JH6TPC1|active|||5|WPS|Computer Science|UGrad
ua04|CSC220|129.128.29.4||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||2X7TPC1|active|||5|WPS|Computer Science|UGrad
ua05|CSC224|129.128.29.5||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||BC6TPC1|active|||5|WPS|Computer Science|UGrad
ua06|CSC224|129.128.29.6||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||3V7TPC1|active|||5|WPS|Computer Science|UGrad
ua07|CSC224|129.128.29.7||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||4X7TPC1|active|||5|WPS|Computer Science|UGrad
ua08|CSC250|129.128.29.8||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||7X7TPC1|active|||5|WPS|Computer Science|UGrad
ua09|CSC252|129.128.29.9||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||2S7TPC1|active|||5|WPS|Computer Science|UGrad
ua10|CSC252|129.128.29.10||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||HM6TPC1|active|||5|WPS|Computer Science|UGrad
ua11|CSC252|129.128.29.11||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||BW7TPC1|active|||5|WPS|Computer Science|UGrad
ua12|CSC224|129.128.29.12||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||6S7TPC1|active|||5|WPS|Computer Science|UGrad
ua13|CSC260|129.128.29.13||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||GW7TPC1|active|||5|WPS|Computer Science|UGrad
ua14|CSC260|129.128.29.14||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||8W7TPC1|active|||5|WPS|Computer Science|UGrad
ua15|CSC262|129.128.29.15||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||HB6TPC1|active|||5|WPS|Computer Science|UGrad
ua16|CSC326|129.128.29.16||Linux WPS Ubuntu 16.04|regular|dept|tst|512143|Dell OptiPlex 745|||||5W7TPC1|active|||5|WPS|Computer Science|UGrad
ua17|CSC350|129.128.29.17||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745|||||9H6TPC1|active|||5|WPS|Computer Science|UGrad
ua18|CSC166|129.128.29.18||Linux Ubuntu 12.04|regular|dept|tst||Dell OptiPlex 745|||||8G6TPC1|retired|||5||Computer Science|UGrad
uc01|CSC121|129.128.41.11||Linux WPS Ubuntu 16.04|regular|dept|tst|549687|Dell OptiPlex 745|||||5144JS1|active|||5|WPS|Computer Science|UGrad
uc02|CSC121|129.128.41.12||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5105JS1|active|||5|WPS|Computer Science|UGrad
uc03|CSC121|129.128.41.13||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5156JS1|active|||5|WPS|Computer Science|UGrad
uc04|CSC121|129.128.41.14||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5128JS1|active|||5|WPS|Computer Science|UGrad
uc05|CSC121|129.128.41.15||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5155JS1|active|||5|WPS|Computer Science|UGrad
uc06|CSC121|129.128.41.16||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||511GJS1|active|||5|WPS|Computer Science|UGrad
uc07|CSC121|129.128.41.17||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||512GJS1|active|||5|WPS|Computer Science|UGrad
uc08|CSC121|129.128.41.18||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||50Z4JS1|active|||5|WPS|Computer Science|UGrad
uc09|CSC121|129.128.41.19||Linux WPS Ubuntu 16.04|regular|dept|tst|549681|Dell OptiPlex 990|||||5158JS1|active|||5|WPS|Computer Science|UGrad
uc10|CSC121|129.128.41.20||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||515DJS1|active|||5|WPS|Computer Science|UGrad
uc11|CSC121|129.128.41.21||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5146JS1|active|||5|WPS|Computer Science|UGrad
uc12|CSC121|129.128.41.22||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5135JS1|active|||5|WPS|Computer Science|UGrad
uc13|CSC121|129.128.41.23||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5167JS1|active|||5|WPS|Computer Science|UGrad
uc14|CSC121|129.128.41.24||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5109JS1|active|||5|WPS|Computer Science|UGrad
uc15|CSC121|129.128.41.25||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||50Z7JS1|active|||5|WPS|Computer Science|UGrad
uc16|CSC121|129.128.41.26||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||510GJS1|active|||5|WPS|Computer Science|UGrad
ud00|CSC125|129.128.29.70||Linux WPS Ubuntu 16.04|regular|dept|tst|538282|Dell OptiPlex 990|||||CAC91501TG|active|||5|WPS|Computer Science|UGrad
ud01|CSC125|129.128.29.71||Linux WPS Ubuntu 16.04|regular|dept|tst|538417|HP dc7900|||||CAC9210068|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2017
ud02|CSC125|129.128.29.72||Linux WPS Ubuntu 16.04|regular|dept|tst|538295|HP dc7900|||||CAC91501SY|active|||5|WPS|Computer Science|UGrad
ud03|CSC125|129.128.29.73||Linux WPS Ubuntu 16.04|regular|dept|tst|538431|HP dc7900|||||CAC91501TC|active|||5|WPS|Computer Science|UGrad
ud04|CSC125|129.128.29.74||Linux WPS Ubuntu 16.04|regular|dept|tst|537359|HP dc7900|||||CAC91501SZ|active|||5|WPS|Computer Science|UGrad Rebuilt 10/2016
ud05|CSC125|129.128.29.75||Linux WPS Ubuntu 16.04|regular|dept|tst|539002|HP dc7900|||||CAC91605WL|active|||5|WPS|Computer Science|"UGrad	Rebuilt 07/2016"
ud06|CSC125|129.128.29.76||Linux WPS Ubuntu 16.04|regular|dept|tst|538299|HP dc7900|||||CAC91501TP|active|||5|WPS|Computer Science|UGrad
ud07|CSC125|129.128.29.77||Linux WPS Ubuntu 16.04|regular|dept|tst|538288|HP dc7900|||||CAC91501TB|active|||5|WPS|Computer Science|UGrad Rebuilt 01/2017
ud08|CSC125|129.128.29.78||Linux WPS Ubuntu 16.04|regular|dept|tst|538291|HP dc7900|||||CAC91400T9|active|||5|WPS|Computer Science|UGrad Rebuilt 07/2016
ud09|CSC125|129.128.29.79||Linux WPS Ubuntu 16.04|regular|dept|tst|no-tag|HP dc7900|||||CAC91501SK|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2018
ud10|CSC125|129.128.29.80||Linux WPS Ubuntu 16.04|regular|dept|tst|538307|HP dc7900|||||CAC91501SR|stalled|||5|WPS|Computer Science|UGrad
ud11|CSC125|129.128.29.81||Linux WPS Ubuntu 16.04|regular|dept|tst|538437|HP dc7900|||||CAC920066Q|active|||5|WPS|Computer Science|UGrad
ud12|CSC125|129.128.29.82||Linux WPS Ubuntu 16.04|regular|dept|tst|538305|HP dc7900|||||CAC91501ST|active|||5|WPS|Computer Science|UGrad
ud13|CSC125|129.128.29.83||Linux WPS Ubuntu 16.04|regular|dept|tst|538304|HP dc7900|||||CAC91501VG|active|||5|WPS|Computer Science|UGrad
ud14|CSC125|129.128.29.84||Linux WPS Ubuntu 16.04|regular|dept|tst|538280|HP dc7900|||||CAC91501SL|active|||5|WPS|Computer Science|UGrad Rebuilt 07/2016
ud15|CSC125|129.128.29.85||Linux WPS Ubuntu 16.04|regular|dept|tst|538270|HP dc7900|||||CAC91501TN|active|||5|WPS|Computer Science|UGrad Warranty Repair
ud16|CSC125|129.128.29.86||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91501VB|active|||5|WPS|Computer Science|UGrad Warranty Repair
ud17|CSC125|129.128.29.87||Linux WPS Ubuntu 16.04|regular|dept|tst|no-tag|HP dc7900|||||CAC95001J5|active|||5|WPS|Computer Science|UGrad Rebuilt 04/2017
ud18|CSC125|129.128.29.88||Linux WPS Ubuntu 16.04|regular|dept|tst|538310|HP dc7900|||||CAC91501T6|active|||5|WPS|Computer Science|UGrad
ud19|CSC125|129.128.29.89||Linux WPS Ubuntu 16.04|regular|dept|tst|539001|HP dc7900|||||CAC91605WF|active|||5|WPS|Computer Science|UGrad
ud20|CSC125|129.128.29.90||Linux WPS Ubuntu 16.04|regular|dept|tst|538478|HP dc7900|||||CAC921006L|active|||5|WPS|Computer Science|UGrad Warranty Repair
ud21|CSC125|129.128.29.91||Linux WPS Ubuntu 16.04|regular|dept|tst|538298|HP dc7900|||||CAC91501VH|active|||5|WPS|Computer Science|UGrad Rebuilt 04/2015
ud22|CSC125|129.128.29.92||Linux WPS Ubuntu 16.04|regular|dept|tst|538276|HP dc7900|||||CAC91401JT|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2018
ud23|CSC125|129.128.29.93||Linux WPS Ubuntu 16.04|regular|dept|tst|538317|HP dc7900|||||CAC91302FV|active|||5|WPS|Computer Science|UGrad Rebuilt 06/2017
ud24|CSC125|129.128.29.94||Linux WPS Ubuntu 16.04|regular|dept|tst|538297|HP dc7900|||||CAC91501TV|active|||5|WPS|Computer Science|UGrad Rebuilt 01/2017
ud25|CSC125|129.128.29.95||Linux WPS Ubuntu 16.04|regular|dept|tst|538292|HP dc7900|||||CAC91400T8|active|||5|WPS|Computer Science|UGrad Rebuilt 11/2016
ud26|CSC125|129.128.29.96||Linux WPS Ubuntu 16.04|regular|dept|tst|538457|HP dc7900|||||CAC921006H|active|||5|WPS|Computer Science|UGrad Rebuilt 06/2016
ue00|CSC129|129.128.29.100||Linux WPS Ubuntu 16.04|regular|dept|tst|538290|HP dc7900|||||CAC95001QQ|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2015
ue01|CSC129|129.128.29.101||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91501T1|active|||5|WPS|Computer Science|UGrad
ue02|CSC129|129.128.29.102||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91501SP|active|||5|WPS|Computer Science|UGrad
ue03|CSC129|129.128.29.103||Linux WPS Ubuntu 16.04|regular|dept|tst|538455|HP dc7900|||||CAC9210069|active|||5|WPS|Computer Science|UGrad Rebuilt 09/2016
ue04|CSC129|129.128.29.104||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91401K9|active|||5|WPS|Computer Science|UGrad
ue05|CSC129|129.128.29.105||Linux WPS Ubuntu 16.04|regular|dept|tst|538281|HP dc7900|||||CAC91501V8|active|||5|WPS|Computer Science|UGrad Warranty Repair
ue06|CSC129|129.128.29.106||Linux WPS Ubuntu 16.04|regular|dept|tst|538279|HP dc7900|||||CAC91401JW|active|||5|WPS|Computer Science|UGrad Rebuilt 01/2017
ue07|CSC129|129.128.29.107||Linux WPS Ubuntu 16.04|regular|dept|tst|538312|HP dc7900|||||CAC91302FD|active|||5|WPS|Computer Science|UGrad Rebuilt 03.2018
ue08|CSC129|129.128.29.108||Linux WPS Ubuntu 16.04|regular|dept|tst|no-tag|HP dc7900|||||CAC920066H|active|||5|WPS|Computer Science|UGrad Rebuilt 10/2016
ue09|CSC129|129.128.29.109||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91501TJ|active|||5|WPS|Computer Science|UGrad
ue10|CSC129|129.128.29.110||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91501V8|active|||5|WPS|Computer Science|UGrad
ue11|CSC129|129.128.29.111||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91501TQ|active|||5|WPS|Computer Science|UGrad
ue12|CSC129|129.128.29.112||Linux WPS Ubuntu 16.04|regular|dept|tst|539008|HP dc7900|||||CAC91605WB|active|||5|WPS|Computer Science|UGrad Rebuilt 10/2016
ue13|CSC129|129.128.29.113||Linux WPS Ubuntu 16.04|regular|dept|tst|no-tag|HP dc7900|||||CAC91302DL|active|||5|WPS|Computer Science|UGrad Rebuilt 06/2016
ue14|CSC129|129.128.29.114||Linux WPS Ubuntu 16.04|regular|dept|tst|538466|HP dc7900|||||CAC91501TK|active|||5|WPS|Computer Science|UGrad Rebuilt 06/2017
ue15|CSC129|129.128.29.115||Linux WPS Ubuntu 16.04|regular|dept|tst|538303|HP dc7900|||||CAC91501TY|active|||5|WPS|Computer Science|UGrad Rebuilt 08/2016
ue16|CSC129|129.128.29.116||Linux WPS Ubuntu 16.04|regular|dept|tst|539006|HP dc7900|||||CAC921006N|active|||5|WPS|Computer Science|UGrad Rebuilt 09/2017
ue17|CSC129|129.128.29.117||Linux WPS Ubuntu 16.04|regular|dept|tst|539014|HP dc7900|||||CAC91401SJ|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2016
ue18|CSC129|129.128.29.118||Linux WPS Ubuntu 16.04|regular|dept|tst|538320|HP dc7900|||||CAC91501TT|active|||5|WPS|Computer Science|UGrad Warranty Repair
ue19|CSC129|129.128.29.119||Linux WPS Ubuntu 16.04|regular|dept|tst|539012|HP dc7900|||||CAC91605WM|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2016
ue20|CSC129|129.128.29.120||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91605WJ|active|||5|WPS|Computer Science|UGrad Rebuilt 06/2016
ue21|CSC129|129.128.29.121||Linux WPS Ubuntu 16.04|regular|dept|tst|no-tag|HP dc7900|||||CAC91302FY|active|||5|WPS|Computer Science|UGrad
ue22|CSC129|129.128.29.122||Linux WPS Ubuntu 16.04|regular|dept|tst|549656|HP dc7900|||||CAC91302FC|stalled|||5|WPS|Computer Science|UGrad Rebuilt 02/2015
ue23|CSC129|129.128.29.123||Linux WPS Ubuntu 16.04|regular|dept|tst|538293|HP dc7900|||||CAC91400T2|active|||5|WPS|Computer Science|UGrad Rebuilt 09/2016
ue24|CSC129|129.128.29.124||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91400T9|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2016
ue25|CSC129|129.128.29.125||Linux WPS Ubuntu 16.04|regular|dept|tst|539016|HP dc7900|||||CAC9210067|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2017
ue26|CSC129|129.128.29.126||Linux WPS Ubuntu 16.04|regular|dept|tst|no-tag|HP dc7900|||||CAC9210067|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2017
uf00|CSC153|129.128.29.130||Linux WPS Ubuntu 16.04|regular|dept|tst|538274|HP dc7900|||||CAC91501TL|active|||5|WPS|Computer Science|UGrad Warranty Repair
uf01|CSC153|129.128.29.131||Linux WPS Ubuntu 16.04|regular|dept|tst|538319|HP dc7900|||||CAC91501T5|active|||5|WPS|Computer Science|UGrad Warranty Repair
uf02|CSC153|129.128.29.132||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC920066K|active|||5|WPS|Computer Science|UGrad
uf03|CSC153|129.128.29.133||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC9200665|active|||5|WPS|Computer Science|UGrad
uf04|CSC153|129.128.29.134||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC9210068|active|||5|WPS|Computer Science|UGrad
uf05|CSC153|129.128.29.135||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC920066T|active|||5|WPS|Computer Science|UGrad
uf06|CSC153|129.128.29.136||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC9200667|active|||5|WPS|Computer Science|UGrad
uf07|CSC153|129.128.29.137||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC921006M|active|||5|WPS|Computer Science|UGrad
uf08|CSC153|129.128.29.138||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91501TM|active|||5|WPS|Computer Science|UGrad
uf09|CSC153|129.128.29.139||Linux WPS Ubuntu 16.04|regular|dept|tst|538298|HP dc7900|||||CAC91501VH|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2018
uf10|CSC153|129.128.29.140||Linux WPS Ubuntu 16.04|regular|dept|tst|538283|HP dc7900|||||CAC91501SQ|active|||5|WPS|Computer Science|UGrad
uf11|CSC153|129.128.29.141||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC920066G|active|||5|WPS|Computer Science|UGrad
uf12|CSC153|129.128.29.142||Linux WPS Ubuntu 16.04|regular|dept|tst|538302|HP dc7900|||||CAC91501T2|active|||5|WPS|Computer Science|UGrad Rebuilt 01/2017
uf13|CSC153|129.128.29.143||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC9210060|active|||5|WPS|Computer Science|UGrad
uf14|CSC153|129.128.29.144||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC920066V|active|||5|WPS|Computer Science|UGrad
uf15|CSC153|129.128.29.145||Linux WPS Ubuntu 16.04|regular|dept|tst|538427|HP dc7900|||||CAC921006M|active|||5|WPS|Computer Science|UGrad Rebuilt 04/2017
uf16|CSC153|129.128.29.146||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC91501SX|active|||5|WPS|Computer Science|UGrad
uf17|CSC153|129.128.29.147||Linux WPS Ubuntu 16.04|regular|dept|tst|538285|HP dc7900|||||CAC91501VD|active|||5|WPS|Computer Science|UGrad Rebuilt 03/2015
uf18|CSC153|129.128.29.148||Linux WPS Ubuntu 16.04|regular|dept|tst|538460|HP dc7900|||||CAC920066D|active|||5|WPS|Computer Science|UGrad Warranty Repair
uf19|CSC153|129.128.29.149||Linux WPS Ubuntu 16.04|regular|dept|tst|538313|HP dc7900|||||CAC91302F4|active|||5|WPS|Computer Science|UGrad Rebuilt 01/2017
uf20|CSC153|129.128.29.150||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC9210062|active|||5|WPS|Computer Science|UGrad
uf21|CSC153|129.128.29.151||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC921006D|active|||5|WPS|Computer Science|UGrad
uf22|CSC153|129.128.29.152||Linux WPS Ubuntu 16.04|regular|dept|tst|538290|HP dc7900|||||CAC91400T6|active|||5|WPS|Computer Science|UGrad Rebuilt 01/2017
uf23|CSC153|129.128.29.153||Linux WPS Ubuntu 16.04|regular|dept|tst|538449|HP dc7900|||||CAC9200666|active|||5|WPS|Computer Science|UGrad Rebuilt 05/2018
uf24|CSC153|129.128.29.154||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC920066P|active|||5|WPS|Computer Science|UGrad
uf25|CSC153|129.128.29.155||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||CAC921006B|active|||5|WPS|Computer Science|UGrad
ug00|CSC159|129.128.29.30||Linux WPS Ubuntu 16.04|regular|dept|tst||HP dc7900|||||5137JS1|active|||5|WPS|Computer Science|UGrad
ug01|CSC159|129.128.29.31||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5159JS1|active|||5|WPS|Computer Science|UGrad
ug02|CSC159|129.128.29.32||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5117JS1|active|||5|WPS|Computer Science|UGrad
ug03|CSC159|129.128.29.33||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5129JS1|active|||5|WPS|Computer Science|UGrad
ug04|CSC159|129.128.29.34||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5113JS1|active|||5|WPS|Computer Science|UGrad
ug05|CSC159|129.128.29.35||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5118JS1|active|||5|WPS|Computer Science|UGrad
ug06|CSC159|129.128.29.36||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5168JS1|active|||5|WPS|Computer Science|UGrad
ug07|CSC159|129.128.29.37||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||514BJS1|active|||5|WPS|Computer Science|UGrad
ug08|CSC159|129.128.29.38||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||50Z3JS1|active|||5|WPS|Computer Science|UGrad
ug09|CSC159|129.128.29.39||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5174JS1|active|||5|WPS|Computer Science|UGrad
ug10|CSC159|129.128.29.40||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5139JS1|active|||5|WPS|Computer Science|UGrad
ug11|CSC159|129.128.29.41||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5115JS1|active|||5|WPS|Computer Science|UGrad
ug12|CSC159|129.128.29.42||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||50Y8JS1|active|||5|WPS|Computer Science|UGrad
ug13|CSC159|129.128.29.43||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||50Y7JS1|active|||5|WPS|Computer Science|UGrad
ug14|CSC159|129.128.29.44||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5134JS1|active|||5|WPS|Computer Science|UGrad
ug15|CSC159|129.128.29.45||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5119JS1|active|||5|WPS|Computer Science|UGrad
ug16|CSC159|129.128.29.46||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5169JS1|active|||5|WPS|Computer Science|UGrad
ug17|CSC159|129.128.29.47||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||514GJS1|active|||5|WPS|Computer Science|UGrad
ug18|CSC159|129.128.29.48||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||516DJS1|active|||5|WPS|Computer Science|UGrad
ug19|CSC159|129.128.29.49||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5145JS1|active|||5|WPS|Computer Science|UGrad
ug20|CSC159|129.128.29.50||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5108JS1|active|||5|WPS|Computer Science|UGrad
ug21|CSC159|129.128.29.51||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5122JS1|active|||5|WPS|Computer Science|UGrad
ug22|CSC159|129.128.29.52||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5127JS1|active|||5|WPS|Computer Science|UGrad
ug23|CSC159|129.128.29.53||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5148JS1|active|||5|WPS|Computer Science|UGrad
ug24|CSC159|129.128.29.54||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||50Z1JS1|active|||5|WPS|Computer Science|UGrad
ug25|CSC159|129.128.29.55||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5125JS1|active|||5|WPS|Computer Science|UGrad
ug26|CSC159|129.128.29.56||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5166JS1|active|||5|WPS|Computer Science|UGrad
ug27|CSC159|129.128.29.57||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||50Y4JS1|active|||5|WPS|Computer Science|UGrad
ug28|CSC159|129.128.29.58||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||5164JS1|active|||5|WPS|Computer Science|UGrad
ug29|CSC159|129.128.29.59||Linux WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 990|||||50Z8JS1|active|||5|WPS|Computer Science|UGrad
