NAME|ROOM|IP|OS|OS version|CATEGORY|OWNER|AUTHORITY|BARCODE|DESCRIPTION|SPARE1|SERIAL NUMBER|HOSTID|HOST STATUS|INVENTORY STATUS|FIREWALL|TRUSTLEVEL|RACKINFO|POWER UP|SUPPORT TEAM|COMMENTS
holden|ATH234|129.128.23.35|||printer|ath234|tst|497726|HP LJ2420DN||SCNGKC29979||CLEAN|active||||5||Printer
horse-rv|CSC351|129.128.184.63|Linux|Ubuntu 14.04|regular||mpolak|||||||||||||
hotchkiss|CSC225|129.128.23.25|Windows|10|regular||lin|||||||||||||
hpbbd08d|ATH404|129.128.4.92|||printer|ath404|kulchits||HP Officejet Pro 6830 e-All-in-One||TH615820FH||CLEAN|active||||5||Printer
huallen|ATH317|129.128.23.43|Windows|7|regular|dept|tst|505406|Intel Core 2 6600 @ 2.40GHz-8192||14027046P1||CLEAN|active|OK|||5||Charles custom build for TASK0068006
huxley|ATH358|129.128.4.162|||printer|ath358|duane|420190|HP LJ2100||USGW078494||CLEAN|active||||5||Printer
hy2gsdjh2|CSC265|129.128.184.66|dual-boot|Ubuntu 16.04/Windows 10 Education|regular||yang|707649|Precision T5810|||||||||||
hylo|CSC251|129.128.184.10|||wildwest||artemcm|no-tag|FPGA||||NOP|active||||5||test FPGA
hypatia|GSB175|129.128.243.134|Linux|RHEL Server 5.6|regular||stroulia||Xeon E5410QC/2.33-16384||SM40682||NOP|active|||F17|5||on the wildwest
icdm2011|webdocs|129.128.184.25|||virtual||||||||CLEAN|active||||5||Virtual Web Host on webdocs
idamay||129.128.23.109||||||||||||retired||||5||
iddesleigh||129.128.23.106||||||||||||retired||||5||
idm|||Linux|RHEL Server 5.8|virtual||greiner|NA||||||off||||5||SN CHG0028135
innisfree|GSB175|129.128.21.245|Linux|WPS Ubuntu 16.04|regular|dept|tst||Dell PE R300 Xeon X3323/2.5GHz||C419MJ1||CLEAN|active|OK||F17|5|SA1|
intranet-dev|launch-dev||Linux|Slackware 12.2.0|alias|dept|gordon||||||CLEAN|retired||||5|SA1|
intranet-prod|IST VM|129.128.21.35|Linux|Ubuntu 16.04|virtual|||NA|VM|||||active||||5|SA1|
intranet-test|IST VM|129.128.21.11|Linux|Ubuntu 16.04|virtual|||NA|VM|||||active||||5|SA1|
intranet|intranet-prod|129.128.21.35|Linux|Ubuntu 16.04|alias|||NA|VM|||||active||||5|SA1|CNAME to intranet-prod
ipiatik||129.128.23.251||||||||||||retired||||5||
irma|ATH329|129.128.23.17|Windows|7|regular|smillie|dept||Lenovo M74 84 Intel Core 2 Duo E8400 3.0GHz-8192||||CLEAN|active|OK|||5||NEW not in place yet - physaddrs NIC 1
ironwood|ATH339|129.128.23.97|Windows|8.1|regular|bowling|bowling|598148|Lenovo ThinkCentre Intel Core i7-47700@3.40GHz-16384||MG00FMXX||CLEAN|active|OK|||5||
iron-riv|ATH335|129.128.29.242|Linux|WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 755||CYLQRH1||CLEAN|active||||5|WPS|
irricana|CSC329|129.128.4.248|Linux|WPS Ubuntu 16.04|regular|dept|tst|527266|MacPro 2*2.8GHz-16384||G88223LGXYK||CLEAN|active|OK|||5|WPS|
islay||129.128.29.240||||||||||||retired||||5||
j5qg482|ATH252B|129.128.16.13|Windows|7|regular|kgdean|dept|605665|Optiplex 7040||J5QG482||CLEAN|active|OK|||5||
j62g482|ATH237|129.128.16.9|Windows|7|regular|kasorens|dept|605661|Optiplex 7040||J62G482||CLEAN|active|OK|||5||
j64c482|ATH233|129.128.16.7|Windows|7|regular|britta|dept|605659|Optiplex 7040||J64C482||CLEAN|active|OK|||5||
j67g482|ATH252A|129.128.16.12|Windows|7|regular|sunrose|dept|605664|Optiplex 7040||J67G482||CLEAN|active|OK|||5||
j607482|ATH232|129.128.16.5|Windows|7|regular|sb4|dept|605657|Optiplex 7040||J607482||CLEAN|active|OK|||5||
j629482|ATH235|129.128.16.8|Windows|7|regular|kberg|dept|605660|Optiplex 7040||J629482||CLEAN|active|OK|||5||
j657482|ATH252F|129.128.16.11|Windows|7|regular|lholland|dept|605663|Optiplex 7040||J657482||CLEAN|active|OK|||5||
j678482|ATH241|129.128.16.10|Windows|7|regular|dchoi|dept|605662|Optiplex 7040||J678482||CLEAN|active|OK|||5||
j688482|ATH231|129.128.16.6|Windows|7|regular|sharon|dept|605658|Optiplex 7040||J688482||CLEAN|active|OK|||5||
jarvie|ATH351|129.128.23.91|Linux|WPS Ubuntu 16.04|regular|dept|dept||OptiPlex 980 i7/860@2.8GHz-8G||9KP1PM1||CLEAN|active||||5||Mainboard replaced Feb 18/11.
joffre|CSC137|129.128.22.80|||cluster||steve||Xeon:E3110-4096||SM46050||CLEAN|active|OK|||5||Steve handles
kakwa-riv|ATH423|129.128.23.119|Linux|Ubuntu 14.04|regular||you|512186|AMD64/DC4600-4096||ACS05397||CLEAN|retired|OK|||5||being surplussed
karim-timecapsule|ATH342|129.128.23.49|||unknown||karim2||5th Gen mid 2013 Time Capsule||||NOP|active|OK|||5||
kikino|CSC211?|129.128.23.154|Linux|Red Hat 9 (Shrike)|regular||lindek||Gen Athlon/2000-1024||2BZS232229||DIRTY|missing||||5||
kirriemuir|CSC225|129.128.23.141|Windows|10|regular||lin|||||||||||||
lacombe|CSC329|129.128.4.138|MacOS|10.6|regular|dept|tst||Mac||||CLEAN|active|OK|T|C|5|SA1|TST managed server
lacorey|ATH359|129.128.4.94|Linux|WPS Ubuntu 16.04|regular|greiner|greiner|524803|E6550-2048||B7L1TF1||CLEAN|active||||5||
lafond|ATH354|129.128.4.61|Linux|WPS Ubuntu 16.04|regular|you|you|706799|ThinkCentre M910|||||||||||
lamont|ATH340|129.128.4.80|Linux|Ubuntu 10.04 LTS|regular|paullu|paullu|467913|AMD XP3000-1024||ACS04614||NOP|active|OK|||5||Paul Lu powered off
lanparty|CSC139|129.128.184.220|OpenBSD|5.6|regular|dept|tst||Dell PE 850 P4 80547/2.6-512||775D5B1||CLEAN|missing||T|B|5||TST managed server - lanpartygw
lasthenia|CSC259B3?|129.128.23.214|Windows||regular||stroulia||Core2/T7400/2.16-2048||L3-4N8N9||DIRTY|missing||||5||Rene - please check
lavoy|CSC143|129.128.4.137|Windows|7|regular|||527271|Dell 755||9950RF1||CLEAN|missing||||5||
la-nonne|CSC329|129.128.22.89|MacOS|10.6|regular|dept|tst||Xeon2.26GHz-6144||H09410JN10S||CLEAN|active|OK|T|C|5|SA1|TST managed server
leedale|CSC211|129.128.23.84|Linux|WPS Ubuntu 16.04|regular||jonathan|||||||||||||
lindale|CSC251|129.128.23.215|Linux|WPS Ubuntu 16.04|regular||amaral|||||||||||||
linden|ATH302|129.128.4.126|MacOS|10.1|regular|stewart|stewart|no-tag|iMac (27 inch|||||||||||
lonestar|CSC353|129.128.25.12|Linux|Ubuntu 14.04|regular|jag|jag||||||NOP|active||||5|SRIT|may not be SA1's responsibility
looma|CSC225||dual-boot|Windows 10 & Ubuntu 14.04|regular||lin|||||||||||||
lousana|CSC211||Windows|7 Pro|regular||jonathan|no-tag|Q8300/2.GHz-8192||MXX9510CQF||NOP|missing||||5||Moved to UWS
lubicon|CSC353|129.128.25.30|Linux|Ubuntu 14.04|regular|jag|jag|448709|||ACS03834||NOP|active||||5||This is an old case that was reused
mackay|ATH217|129.128.23.31|Linux|WPS Ubuntu 16.04|regular|carolyn|carolyn|||||||||||||
madden|CSC211|129.128.23.26|Linux|WPS Ubuntu 16.04|regular||jonathan|||||||||||||
magellan|CSC205|129.128.23.44|Windows|10 Education|regular||hasell|||||||||||||
maligne-lk|ATH415|129.128.4.242|MacOS|10.2|regular|jonathan|jonathan||G5/1.8GHz-512||XB3370PXNVR||NA|missing||||5||
mannville|ATH347|129.128.4.163|MacOS|10.5.8|regular|goebel|goebel|438971|Apple G4/933-512||XB2051NXM8G||NOP|missing|OK|||5||Moved to NAT
maple|GSB175|129.128.243.166|Linux|Ubuntu 18.04|regular|karim2|karim2|718589|Thinkmate AS-1023US-TR4||S267675X8432827||CLEAN|active|OK||F17|5|SRIT|Support account: srit
mariana|ATH202|129.128.23.188|Linux|Ubuntu 12.04|regular|rod|rod||HP d79008C/E8400/160hq/2U/7k US||CAC95001J5||CLEAN|retired|OK|||5||
marion|CSC305A|129.128.22.25|||cluster||steve||Opteron/250-16384||ACS04802||CLEAN|active|OK|||5||Steve handles. Currently powered off (Jan 2018).
markerville|CSC133|129.128.23.75|Windows|7|regular||hasell|||||||||||||
marlboro|CSC132|129.128.29.238|Linux|WPS Ubuntu 16.04|regular|dept|tst|512183|Dell OptiPlex 755||7WSLT41||CLEAN|active||||5|WPS|UGrad
marten|ATH438|129.128.4.30|Linux|WPS Ubuntu 16.04|regular|kondrak|kondrak||Dell OptiPlex 790 i5-2400/4086||6GHSJQ1||CLEAN|active||||5||
marwayne|ATH358|129.128.4.86|MacOS|10.9.4|laptop|duane|duane||Apple laptop||serial||CLEAN|active||||5||Monitor is TAG# 482528
mayatan-lk|ATH352|129.128.4.101|MacOS|10.6|regular|amaral|amaral||Mac mini Mid 2010 Core2 Duo @2.4GHz-2048||C07D40DSDD6L||CLEAN|active|OK|||5||
maya|CSC301|129.128.25.133|Linux|Ubuntu 14|regular||jag|477314|X3350/4192||||CLEAN|active|OK|||5||
mayerthorpe|CSC147|129.128.25.63|MacOS|unknown|regular|rltaylor|pierreb|473449|Mac G5-1280||XB3352AM||DIRTY|stalled||||5||Walter will scan and let us know.  Was missing mouse.
mburo-lt||129.128.4.66|||laptop|mburo|mburo||Laptop||serial-no||DIRTY|missing||||5||off campus?
mcid|CSC311|129.128.184.92|Windows|8|regular|chenqu|guohui|no-tag|HP Pavilion  Model 500-214||3CR41005CJ||NOP|active||||5||Ticket#: 10102332
mclennan|CSC132|129.128.4.238|MacOS|10.11|regular|dept|dept||"iMac 27"""|||||||||||
meanook|CSC225|129.128.23.57|Windows|7|regular||lin|||||||||||||
medserver|CSC147|129.128.184.96|||unknown||pierreb||||||NOP|active||||5||
mega-rv|ATH215|129.128.23.158|MacOS|10.6|regular|smir|smir|528103|iMac24/2.8GHz-204iMac24/2.8GHz-2048||YM8336127E4||CLEAN|missing|OK|||5||Reinstalled
melanoma|CSC205|129.128.184.68|||regular|zaiane|hasell|||||||||||||
melco|GSB175|129.128.243.3|Linux|Ubuntu 18.04|regular|zaiane|zaiane||Thinkmate XT24-2460V4-10GPU||S240227X8900342||CLEAN|active|OK||F16|5|SRIT|Support account: srit
melissa|GSB175|129.128.243.4|Linux||regular||stroulia||IBM||CWVSWC1||CLEAN|active|||F17|5||
menaik|CSC329|129.128.4.241|Linux|CentOS 5.2 (Final)|regular|dept|dept|||||||||||||
michichi||129.128.23.89||||||||||||retired||||5||
mildred|CSC347|129.128.25.42|Linux|WPS Ubuntu 16.04|regular|mpolak|zhang|no-tag|Opti/E8400-4096||JYVBZH1||CLEAN|active||||5||Waiting on BIOS password reset
millet|ATH150|129.128.4.95|MacOS|10.5|regular|enright|tony|445498|iMacG4/700-256||QT22259EL3V||NOP|active||||5||
mininet-laptop|ATH122|129.128.23.30|Windows|10 Professional|regular|||no-tag|Dell Precision M4700 i7-3840QM 2.8 GHz|||||||||||
mininet-vm|ATH122|129.128.23.20|Linux|Ubuntu 14.04 Server|virtual|hanvari|hanvari|no-tag|Dell Precision M4700 i7-3840QM 2.8 GHz|||||||||||
ministik|CSC245|129.128.23.87|Linux|WPS Ubuntu 16.04|regular|miyoung2|tst||Dell XPS 8500 i7-3770 3.4GHz-8192||FF12QS1||CLEAN|active||||5||
mint-dev|launch-dev|129.128.22.151|Linux|Slackware 12.2.0|alias|dept|gordon||||||CLEAN|retired||||5||
mint-mon|CSC329|129.128.22.154|Linux|Cent OS|regular||steve|474864|P4/2.67GHz-3072||H8J2F1X||NOP|spare|||D|5||Steve wants it as his spare maybe to make redundant neapolis
mirror|CAB311A|129.128.22.12|Linux|Ubuntu 12.04|regular|dept|tst|479279|atipa P9245 Dual Opteron 250 @2GHZ-8192||2008324||CLEAN|retired||||5|SA1|TST managed server
mizar|CSC329|129.128.184.75|||regular|rudnicki|rudnicki|||||||||||||
mmueller-lt|ATH345|129.128.4.56|MacOS|10.6.5|laptop|mmueller|mmueller||Mac Powerbook G4/867MHz||QT2440EK-N4L-ff0d||CLEAN|active|OK|||5||Willing to move to NAT once printing works.
montagneuse|CSC305|129.128.23.155|MacOS||regular||hasell|||||||||||||
morecame||129.128.23.159|MacOS|10.5|laptop||tst|461431|Apple iBook G4-1024||UV34593GQE4||CLEAN|missing||||5||
morley||129.128.4.75||||||||||||retired||||5||
morningside|CSC355|129.128.23.178|Linux|WPS Ubuntu 16.04|regular|||482519|AMD64/3400-2048||ACS05087||CLEAN|active||||5||
morrin||129.128.16.169|Windows|XP Pro|regular||dept|526143|Dell OptiPlex 755:Core2/2.66-2048||JT9???||CLEAN|missing||||5||missing - last seen ATH252
mstrobl-desktop|ATH424|129.128.184.16|Linux|Ubuntu|regular||mstrobl||AMD Ryzen 7 2700X-16G||||NOP|active|OK|||5||TASK0245042
mtu14nv|CSC329|129.128.41.236|Linux|WPS Ubuntu 14.04|regular|dept|tst|538272|HP dc7900||CAC91501VC||CLEAN|active||||5|WPS|UGrad
mtu14|CSC329|129.128.41.235|Linux|WPS Ubuntu 14.04|regular|dept|tst|512135|Dell OptiPlex 745||8G6TPC1||CLEAN|active||||5|WPS|UGrad
mtu16nv|CSC329|129.128.41.234|Linux|WPS Ubuntu 16.04|regular|johnb|tst||Dell OptiPlex 990||515BJS1||CLEAN|active||||5||Ubuntu 16.04 Nvidia spec box
mtu16|CSC329|129.128.41.240|Linux|WPS Ubuntu 16.04|regular|dept|tst|513778|ACS06172||||CLEAN|active||||5||Ubuntu 16.04 Generic spec box
mulhurst|ATH345|129.128.4.84|MacOS|10.1|regular|mmueller|mmueller||iMac/4GHz-16384||C02PQ043FY14||CLEAN|active|OK|||5||
mundare|ATH220|129.128.4.82|MacOS|10.8|regular|mn|mn|524170|iMac/2.8GHz-2048||K874212HZCT||CLEAN|active||||5||To be used by guests
muriel1|GSB175|129.128.21.243|Linux|WPS Ubuntu 16.04|regular||mmueller||Xeon E5420QC/2.5G-12288||SM40022||CLEAN|active|||F14|5|SRIT|same as for muriel
muriel-c1|CSC329|192.168.85.128|||cluster||steve|||||||||||||
muriel|GSB175|129.128.21.242|Linux|WPS Ubuntu 16.04|regular||mmueller||Xeon E5420QC/2.5G-12288||SM39482||CLEAN|active|||F14|5|SRIT|limit users (gogroup and planninggroup)
myria|ATH452B|129.128.184.46|Linux|Ubuntu 14.04|regular||stroulia|||||||||||||
myrnam|CSC243|129.128.159.136|||regular|emarkus|jonathan|420265|Mac G4/400||XA0320BHJ3C||DIRTY|missing||||5||Could not power on
namao|ATH437|129.128.25.146|Linux|WPS Ubuntu 16.04|regular||networks|482839|AMD64/4000-2048||ACS05158||CLEAN|active||||5||msdos only partitioning
namur|ATH322|129.128.4.68|Windows|10 Pro|regular|yannis|yannis||Core i7-8700|||||||||||
nathan|CSC353|129.128.184.133|Linux|Ubuntu 18.04|regular|||||||||active|OK|||5||port 353-11 moved to wild west as per TASK0217380
nathan-g5|CSC245|129.128.159.138|MacOS|10.4.11|regular|nathanst|nathanst|467900|Mac G5/1.8GHz-1Gb||XB3410B4NVS||DIRTY|missing||||5||
nat-gw|CSC329|129.128.184.5|OpenBSD|4.5|regular|dept|tst|503217|Dell PE 850 P4 80547/2.13G-4096||775D5B1||CLEAN|active||T|F|5|SA1|TST managed server
nazim-acer|CSC259|129.128.23.51|Windows|10 Home|regular|nazimudd|nadi||Acer Aspire R14||R3-471T-5448||NOP|active||||5||
neapolis|CSC231|129.128.22.253|Linux|Scientific 4.2 (Beryllium)|regular||steve||Dell PE 1750||||CLEAN|active|OK||B|5||Steve handled
nebula|CSC353|129.128.184.48|||regular||zichen2||||||NOP|active||||5||
neerlandia|CSC341||||regular|dept|steve||Optiplex 780|||||||||||
netera-e5|CSC295A|129.128.184.15|||regular||cybera||||||NOP|active||||5||barton.satchwill@cybera.ca
nevis|129.128.25.130|||||||||||||retired||||5||
new-sedgewick|IST VM|129.128.21.206|Linux|RHEL Server 7.4|virtual||AppHosting|NA|VM|||||active||||5|SA1|
new-ssrga|melissa|129.128.243.5|||virtual|dwt|stroulia||||||NOP|active||||5||
new-ssrgb|melissa|129.128.243.6|||virtual|dwt|stroulia||||||NOP|active||||5||
new-ssrgc|melissa|129.128.243.7|||virtual|dwt|stroulia||||||NOP|active||||5||
new-ssrgd|melissa|129.128.243.8|||virtual|dwt|stroulia||||||NOP|active||||5||
newbrook|ATH437|129.128.25.214|||||macg|||||||||||||
newnorway||129.128.25.153||||||||||||retired||||5||
newsarepta|CSC315|129.128.4.69|Windows|7|regular|dept|dept|no-tag|Dell 755||3GC7HH1||CLEAN|spare||||5||
ni23-165|CSC165|129.128.23.250|||network|dept|steve|406483|NetIron||02915c||CLEAN|missing||||5||Switch
nicot-lk||129.128.23.59||||||||||||retired||||5||
nilrem|ATH406|129.128.4.131|Windows|7|regular|nray1|nray1||i7-920/2.66GHz-12288||DCLHBK1||CLEAN|active|OK|||5||
niton|ATH437|129.128.25.13|Linux|Ubuntu 14.04|regular||netgroup|497681|AMD64 X2 4400+ 2.2GHz|||||||||||
nojack|CSC329|129.128.29.236|Linux|openSUSE 13.1|regular|dept|tst|549748|Dell PE R310||899FJS1||CLEAN|active|||B|5|SA1|TST managed server
nordegg|ATH252D|129.128.4.70|MacOS|10.5.8|regular|macg|macg|513631|MacPro/2x2.66-16384||G8723536UPZ||CLEAN|active|OK|||5||
northstar||129.128.25.180||||||||||||retired||||5||
notecc|CSC351|129.128.184.106|Linux|Ubuntu 16.04|regular||ktgordon||||||NOP|active||||5||
oardakan-desktop|ATH321||MacOS|10.12|regular|oardakan|oardakan|586225|iMac 27 2017||C02V424RJ1GN||CLEAN|active|OK|||5||On subnet 4
odb1|IST VM|129.128.21.98|Linux|Ubuntu 16.04|virtual||IApps|NA|VM||||CLEAN|active||||5|SA1|
odb2|||Linux|Slackware 12.2.0|regular|dept|tst|510096|Dell PE 2950 Xeon/5130||12LYYC1||CLEAN|retired||T|B|5|SA1|TST managed server
odyssey|ATH338|129.128.23.133|||regular|bulitko|bulitko||PlayStation 4||||NOP|active||||5||
ohaton|GSB175|129.128.243.70|Linux|WPS Ubuntu 16.04|regular|dept|tst|no-tag|Dell 2950||3CR3DG1||CLEAN|active|||F17|5|SA1|TST managed server
old-onoway|CSC231|129.128.4.128|Linux|RHEL Server 5.11|regular|dept|shauna|||||||||||||
old-smb-home|CSC231|129.128.4.32|Linux|Slackware 12.2.0|regular|dept|tst||Dell PE 860 Xeon 3050/2.13GHz-2048||7DR6SD1||CLEAN|retired|||A|5|SA1|TST managed server
old-warburg|CSC231|129.128.22.37|Linux|RHEL Server 5.11|regular|dept|tst|510057|Dell PE 2950 Xeon/5110-8192||17506C1||CLEAN|retired||T|B|5|SA1|RHN# 1018073815
old-webdocs-4|CSC231|129.128.4.217|Linux|RHEL Server 5.11|regular|dept|tst||||||CLEAN|retired||T|B|5|SA1|RHN# 1019100174
old-webdocs|CSC231||Linux|RHEL Server 5.11|regular|dept|tst||||||CLEAN|retired||M|B|5|SA1|RHN# 1019100174
otrs-dev|launch-dev|129.128.22.145|Linux|Slackware 12.2.0|alias|dept|tst||||||CLEAN|retired||||5||
palisade|ATH340|129.128.4.99|MacOS|10.9.5|regular|paullu|paullu||iMac 3.5GHz i7/32768||D25MD1MLF8JC||CLEAN|active|OK|||5||
peace-riv|CSC205|129.128.23.180|Linux|Scientific 5.1 (Boron)|regular||hasell|||||||||||||
peers|CSC251|129.128.23.249|Linux|WPS Ubuntu 16.04|regular||amaral|||||||||||||
pendryl|CSC265|129.128.25.38|Windows|7|regular||yang|528946|PWST7400/E5405-4096||9DS0JF1||CLEAN|active|OK|||5||
penhold|CSC251A||AIX|5.1.0.0|regular||amaral|||||||||||||
peoria|CSC261|129.128.23.58|Windows|7|regular|lin|lin|||||||||||||
pfm2|CSC133|129.128.184.67|Windows|Server 2012 64-bit|regular|hasell|hasell|543297|Dell Core2 Quad Q9400 @ 2.67 GHz; 8 GB RAM||7FS5WK1||NOP|active||||5||On WW
pibroch|CSC211|129.128.23.55|Linux|WPS Ubuntu 16.04|regular||greiner|no-tag|Q8300/2.GHz-8192||MXX9510CQN||CLEAN|active||||5||
pickardville|CSC305A?||Linux|Red Hat 9 (Shrike)|regular||paullu|467916|AMD/MP2400-1024||ACS04564||NA|retired||||5||MB swapped after power outage August 9
pinehurst|CSC251A|129.128.23.128|Windows||regular||denmanse||MemoryExpress i5-8GB||||CLEAN|active||||5||
pinelake||129.128.4.87||||||||||||retired||||5||
pipestone|CSC329|129.128.22.42|Linux|WPS Ubuntu 16.04|regular|dept|tst||Xeon E5430QC/2.66G-20480 SuperMicro X7DBR-8+/X7DBR-I+||SM39131||CLEAN|active|||F|5|SA1|
pizza|CSC259B3|129.128.184.21|||unknown||hindle1||||||NOP|active||||5||
placid|ATH306|129.128.25.16|MacOS|10.11|regular|zacharyf|zacharyf|604046|iMac|||||||||||
polaris|CSC251A|129.128.184.40|||regular|||no-tag|Opt2378/2.2GHz-16384||SM3??||NOP|active||||5||on wildwest; Steve will handle
polygon|CSC211||Linux|Ubuntu 16.04|laptop|bulitko|bulitko||"MacBook (13"" Late 2009)"|||||||||||
ponoka|ATH232|129.128.16.171|Windows|XP Pro|regular||dept|528139|Dell OptiPlex 755||||CLEAN|active||||5||Used by whomever is at reception.
priam|ATH338|129.128.23.135|MacOS|10.11.3|regular|bulitko|bulitko|543237|Core 2 Duo 2.93 GHz|||||||||||
prn353-clr|CSC353|129.128.25.67|||printer|cs353-clr|jag|420464|HP ColorLJ||JPHAE13146||CLEAN|stalled||||5||disconnected and powered off - no barcode sticker
provost||129.128.4.243|||regular|||||||||retired||||5||
psychiatry|GSB175|129.128.243.168|||unknown|steve|rgreiner|482843|||ACS05152||NOP|active|||F14|5||i3-4130/3.4GHz-8192
puppetmaster-r|CSC231|129.128.4.228|Linux|Ubuntu 12.04|regular|dept|tst|537338|PowerEdge R300||HMTZ3J1||CLEAN|retired||T||5|SA1|puppetmaster research interface
pyramid-lk|CSC251A|129.128.23.123|Linux|Scientific 4.3 (Beryllium)|regular||duane||ACS-AMD/1.5GD-2048||ACS03199||DIRTY|missing||||5||Rene - please check
pythais|GSB175|129.128.243.135|Linux|RHEL Server 5.6|regular||stroulia||Opteron-1216HE/2.4GHz-4096||SM45386||NOP|active|||F17|5||
quack|ATH401|129.128.4.141|Linux|Fedora 13|regular||jag|479752|Compaq Semp/3100-512||CNH4480M||CLEAN|active||||5||Used to be ryley and was moved from CS353 to ATH 401 by Martin Jagersand
ranee|CSC301|129.128.25.124|Windows||regular||jag||Shuttle P4/3.2G-1024||T62K00408D04256||NOP|missing||||5||on private NAT for robot work
ranfurly|CSC315|129.128.29.237|||regular|dept|||Dell OptiPlex 755||1TX37J1||CLEAN|retired||||||
redwater||129.128.23.22|Windows|XP Pro 5.1.2600|regular||yuan|431556|AMD XP 800-1024||PS130394||NOP|missing||||5||User suggests retirement; last seen in CSC250?
reita-lake|CSC211|129.128.159.244|Windows|10 Education|regular||bulitko|598148|ThinkCentre M93p - Type 10A7|||||||||||
repos|IST VM|129.128.21.207|Linux|Ubuntu 16.04|virtual|||NA|VM|||||active||||5|SA1|
richdale|CSC353|129.128.25.129|Linux|Ubuntu 14|regular||karteek|||||||||||||
rlai-cmput-1|CSC205|129.128.159.203|Linux|Ubuntu 18.04 LTS|regular|amii|amii||Unknown||||CLEAN|active|||E|5||Andrew Patterson is managing
roche-miette|CSC353|129.128.25.46|Linux|Fedora 13|regular|cobzas||||||||||||||
rock-crk|CSC231|129.128.22.20|Windows|Server 2003|regular|dept|tst|482844|P4/1.8GHz-512||ACS05161||CLEAN|off|||B|5||TST managed server
rodef|CSC301|129.128.25.28|Linux|WPS Ubuntu 14.04|regular||zhang|||||||||||||
ron|CSC225|129.128.184.103|dual-boot|Win10/Ubuntu16.04|regular|locheng|locheng|604109|||14265005P||NOP|active||||5||MRC grad lab machine
rotationbuilder|CSC135|129.128.184.62|Windows|unknown|regular||aicml||||||NOP|active||||5||Not installed by TST.
rowley|CSC353|129.128.25.92|Linux|unknown|regular|zichen2|jag|448708|P4/2.4G-1024||ACS03672||CLEAN|active||||5||
rts|ATH424|129.128.184.64|Linux|Mint 17.3|regular|astanesc|astanesc|no-tag|Pentium G2120 @ 3.1 GHz|||||||||||
rumsey|CSC301|129.128.25.158|Linux|Ubuntu 16.04|regular|cjs|zhang|no-tag|E8400-4096||HRWT5J1||NOP|active|OK|||5||robotis lab installed their own OS
russ-home|Off Campus||Windows|10 Edu|regular|greiner|greiner|704406|OptiPlex 7040|||||||||||
rycroft|CSC315A|129.128.25.11|||unknown||zhang|423127|RMI Magellan||31046||DIRTY|missing||||5||Missing
sabine|ATH432|129.128.4.45|Windows|10|regular|joerg|joerg|543283|i7/920-12288||DHT25K1||NOP|active||||5||Not installed by TST. Installed by user
saddle-lk|CSC251|129.128.23.68|Linux|WPS Ubuntu 16.04|regular||paullu|497708|AMD64/3500-1024||ACS05146||CLEAN|active||||5||
sakwatamau|ATH351|129.128.23.236|Windows|7|regular||paullu|586232|BearBones ASUS H87M-Plus i7 4770@3.4GHz-8GB||BB0636||CLEAN|active|OK|||5||BIOS password lower case only
salient|CSC305A|129.128.22.17|Linux|RHEL AS 4 (Nahant)|cluster||steve|||||||||||||
sand-rv|CSC315|129.128.25.59|Linux|WPS Ubuntu 16.04|regular|charles|charles|||||||||||||
sangudo|ATH207|129.128.25.2|MacOS|10.6|regular|rene|rene|489480|iMac core2duo/2.4-2048||W873340LX86||CLEAN|active|OK|||5||
sarahs-macbook-pro|ATH441|129.128.23.129|MacOS|10.12|laptop|nadi|nadi|606053|MacBook Pro Retina 3.1GHz||C02S13NMFVH8||CLEAN|active||||5||
sass-lake|CSC211|129.128.23.67|Linux|WPS Ubuntu 16.04|regular||jonathan|||||||||||||
saulteaux||129.128.23.245||||||||||||retired||||5||
sawnlk||129.128.4.250||||||||||||retired||||5||
sawridge||129.128.23.66||||||||||||retired||||5||
scotfield|ATH409|129.128.4.38|Linux|WPS Ubuntu 16.04|regular|dale|dale|586173|Dell OptiPlex 790 i7/2600-8192||7S8XPW1||CLEAN|active||||5||
scotford|CSC329|129.128.22.14|Linux|WPS Ubuntu 16.04|regular|zhang|zhang|586214|Silicon Mechanics 2xXeon E5-2630|||||||||||
scovil|CSC251A||Linux|Red Hat 7.2 (Enigma)|regular||paullu|422841|ACS-PIII/700D-512||ACS02392||NA|missing||||5||out of service -- does this mean surplus
seba-bch||129.128.23.185||||||||||||retired||||5||
sedalia||129.128.4.36||||||||||||retired||||5||
sedgewick|CSC231|129.128.4.8|Linux|RHEL Server 5.11|regular|dept|carolyn|||||||||||||
sega|ATH338|129.128.23.139|||unknown|bulitko|bulitko||Xbox One||||NOP|active||||5||
seiulake|ATH217|129.128.23.37|Linux|WPS Ubuntu 16.04|regular|shauna|shauna|||||||||||||
serv-vcenter|CSC231|129.128.22.60|Linux|Rescue|regular|dept|tst|549631|Dell PE R300 Xeon /2.40Ghz-4096||F419MJ1||CLEAN|retired|||B|5||to be reused or retired
setup4a||129.128.4.1||||||||||||temp||||5||
setup4b||129.128.4.2||||||||||||temp||||5||
setup4c||129.128.4.4||||||||||||temp||||5||
setup4d||129.128.4.5||||||||||||temp||||5||
setup4e||129.128.4.6||||||||||||temp||||5||
setup16a||129.128.16.168||||||||||||temp||||5||
setup16b||129.128.16.174||||||||||||temp||||5||
setup16c||129.128.16.2||||sysadmin||||||||temp||||5||tmcguire from SA1 needs an IP for 2015-07-07
