1 NAME|3 IP||4 OS, 5 OS version|6 CATEGORY|2 ROOM|18 RACKINFO|12 SERIAL NUMBER|9 BARCODE||7 OWNER|8 AUTHORITY|14 HOST STATUS|10 DESCRIPTION: Machine Company| Processor| RAM| HDD||
csora-app|129.128.21.37||Linux, CentOS 7.3|virtual|IST VM|||NA|||AppHosting|CLEAN||||||
csora-db1|129.128.21.36||Linux, RHEL Server 7.4|virtual|IST VM|||NA|||AppHosting|CLEAN||||||
csora-tst|129.128.21.38||Linux, RHEL Server 7.4|virtual|IST VM|||NA|||AppHosting|CLEAN||||||
cs-537152|||MacOS, 10.1|laptop|ATH315||W8915BJC8QT|537152||balaski|balaski|CLEAN|Apple MacBook|Intel Core2 Duo @ 2.4 GHz|4|250||
cs-549679|||Windows, 10 Education|laptop|ATH354||CFJS5R1|549679||you|you|CLEAN|Dell XPS 14Z|Intel i5 2430M|6|320||
cs-549828|||MacOS, 10.12|laptop|CSC327||C02HL2X2DV33|549828||dwishart|aguo|CLEAN||Intel i7 @ 2.3 GHz|4| 500||
cs-586240|||Windows, 10 Edu|laptop|ATH354||DCN0CX019464499|586240||you|you|CLEAN||Intel i5 4200U @ 1.6 GHz|6|500||
cs-717284|||MacOS, |laptop|ATH451||C02VV076JJ3F|717284||denilson|denilson|CLEAN||Intel i5 @ 3.1 GHz|16|512||
cs-722629|||Windows, 10 Education|laptop|ATH359||PC-0YPJYV|722629||greiner|greiner|CLEAN|ThinkPad X280|Intel i5 7200U|8|500||
cups|129.128.21.81||Linux, Ubuntu 16.04|virtual|IST VM|||NA|||SA1|CLEAN||||||
cupsr-4|129.128.4.210||Linux, Ubuntu 16.04|regular|CSC231||899GJS1|549749||dept|tst|NOP|Dell PowerEdge R310|||||
cybera-airport-2-59c|129.128.184.94||, |regular|CSC259c||||||cybera|NOP||||||
cybera-airport-3-43|129.128.184.93||, |regular|CSC343||||||cybera|NOP||||||
cyberdyne|129.128.23.140||dual-boot, Windows 10 + Ubuntu 16.04|regular|ATH338||14255237P|606167||bulitko|bulitko|NOP||Intel i7 6900K @ 3.2 GHz|128|2500||
czar|129.128.21.204||Linux, openSUSE 42.3|regular|GSB175|F14|4R2WFN1|554346||dept|tst|CLEAN|Dell R410|||||
dalmuir|129.128.25.232||Linux, WPS Ubuntu 16.04|regular|ATH430||JMTPWH1|no-tag|||mn|CLEAN|Dell Optiplex|Intel Core2 Duo E8400|4|||
dapp1|129.128.21.250||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|SM45235|538422|||drafiei|CLEAN|Silicon Mechanics|||||
dapp2|129.128.21.251||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|SM45232|538423|||drafiei|CLEAN|Silicon Mechanics|||||
dapp3|129.128.21.252||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|SM45233|538424|||drafiei|CLEAN|Silicon Mechanics|||||
dapp4|129.128.21.253||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|SM45234|538425|||drafiei|CLEAN|Silicon Mechanics|||||
darwell|129.128.25.231||Linux, WPS Ubuntu 16.04|regular|ATH430||4NTPWH1|no-tag|||mn|CLEAN|Dell Optiplex|Intel Core2 Duo E8400|4|||
daysland|129.128.29.244||Linux, Gentoo (stand alone)|regular|ATH200||serial-no|510091||johnb|johnb,rod|CLEAN||AMD Opteron 165|4|||
dc-ah126|129.128.22.251||, |network|ATH126||d68S741||||steve|CLEAN|Dell 3348|||||
dc-ah224|129.128.22.247||, |network|ATH224A||HN424??||||steve|CLEAN|Dell 3324|||||
dc-ah326|129.128.22.248||, |network|ATH326||HN424??||||steve|CLEAN|Dell 3348|||||
dc-cs263|129.128.22.252||, |network|CSC263||7741451||||steve|CLEAN|Dell 3348|||||
dc-cs361|129.128.22.249||, |network|CSC361||HN42451|482833|||steve|CLEAN|Dell 3348|||||
deadwood|129.128.21.12||Linux, openSUSE 42.3|regular|GSB175|T27|G1NKXF1|538411||dept|tst|CLEAN|Dell PowerEdge 2950(3)|||||
debolt|129.128.25.236||Linux, WPS Ubuntu 16.04|regular|ATH430||65S2KH1|537355|||mn|CLEAN|Dell Optiplex|Intel Core2 E8400|4|||
deer-mtn|129.128.25.61||Linux, WPS Ubuntu 16.04|regular|ATH430||6NTPWH1|no-tag|||mn|CLEAN|Dell Optiplex|Intel Core2 E8400|4|||
demay-lk|129.128.25.47||Linux, WPS Ubuntu 16.04|regular|ATH430||95J2KH1|537356|||joerg|CLEAN|Dell Optiplex|Intel Core2 E8400|4|||
denard|129.128.184.18||Windows, 10|regular|ATH430||8PVRNW1|586172|||joerg,mario|CLEAN|Dell Vostro 470|Intel i7 3770|32|750||
denilson-time-capsule|129.128.4.26||, |unknown|ATH451||||||denilson|NOP|Apple Time Capsule|||||
derwent|129.128.25.213||Linux, WPS Ubuntu 16.04|regular|ATH430||85J2KH1|537357|||mn|CLEAN|Dell Optiplex|Intel Core2 E8400|4|||
desktop-uou9u44|129.128.4.93||Windows, 10 Edu|regular|ATH411|||||pierreb|pierreb|CLEAN||||||
devenish|||Linux, Ubuntu 16.04|regular|CSC205||5FS5WK1|543293|||hasell,zaiane|NOP|Dell|Intel Core2 Q9400 @ 2.66GHz|8|||
dev-stage2|129.128.21.19||Linux, Ubuntu 16.04|virtual|IST VM|||NA|||gordon|CLEAN||||||
dev-stage|129.128.21.16||Linux, Ubuntu 16.04|virtual|IST VM|||NA|||gordon|CLEAN||||||
didsbury-v|129.128.4.244||, |virtual|ATH436||KCTD62G|||drafiei|drafiei|DIRTY||Intel Pentium4 @ 3GHz|1|||
didsbury|129.128.4.234||Linux, WPS Ubuntu 16.04|regular|ATH436||KCTD62G|||drafiei|drafiei|CLEAN||Intel Pentium4 @ 3GHz|1|||
dillberry|129.128.25.198||, |regular|CSC323?||FH5F5J1|||||DIRTY||Intel Core2 E8500 @ 3.2GHz|4|||
diotima|129.128.184.19||MacOS, 10.6.4|wildwest|ATH452||YM00265R9G5|||legilmou|stroulia|CLEAN|Apple MacMini Exxxx| @ 2.26GHz|4|||
discovery|||dual-boot, Windows 10 Edu & Ubuntu 16.04|regular|CSC205||DNTX0R1|no-tag|||hasell,zaiane|CLEAN|Dell XPS 9100|Intel i7 960 @ 3.2 GHz|12|1000||
donalda|129.128.25.202||Linux, WPS Ubuntu 16.04|regular|ATH430||55S2KH1|537353|||mn|CLEAN|Dell Optiplex|Intel Core2 E8400|4|||
donnelly|129.128.25.94||Linux, WPS Ubuntu 16.04|regular|ATH430||9NTPWH1|no-tag|||mn|CLEAN|Dell Optiplex|Intel Core2 E8400|4|||
dorscheid|129.128.23.36||Linux, Ubuntu|regular|CSC205||14027046P2||||hasell,zaiane|NOP||Intel Core2 6600 @ 2.4|2|||
drayton|129.128.25.62||Linux, RHEL Server 5.11|regular||A|SM45228||||drafiei|CLEAN||AMD Opteron 8378 @ 2.4GHz x4|65|||
drdc-edge|129.128.184.95||, |regular|ATH327|||||jgrant2|dwishart|NOP||||||
driftpile|129.128.21.72||Linux, openSUSE 42.3|regular|ESQL137|12|1P9ZMF1|529108||dept|tst|CLEAN|Dell PowerEdge 2950(3)|||||
dunvegan|129.128.25.229||Linux, WPS Ubuntu 16.04|regular|ATH430||7NTPWH1|no-tag|||mn|CLEAN|Dell Optiplex|Intel Core2 E8400|4|||
duvernay|129.128.25.217||Linux, NOP|regular|ATH430||1NTPWH1|no-tag|||mn,yannis|CLEAN|Dell Optiplex|Intel Core2 E8400|4|||
e5-gpu-server|129.128.184.98||Linux, Ubuntu 16.04|regular|CSC351|||no-tag||nray1|nray1|NOP|Custom Build|||||
edberg|129.128.16.166||Windows, XP Pro|regular|ATH237||ACS04834||||dept,cwhelan|CLEAN|Dell OptiPlex 755|Intel Core2 @ 2.66GHz|2|||
edwand|129.128.23.76||Linux, Ubuntu 14.04|regular|CSC205||BFS5WK1|543396|||hasell,zaiane|CLEAN||Intel Core2 Q9400 @ 2.66GHz|8|||
egremont|129.128.25.103||, |regular|CSC363A?||AK-VAH2N||||anup|NOP|Thinkpad|Intel Celeron @ 1.13GHz|248MB|||
elkpoint|129.128.21.240||Linux, Slackware 14.2|virtual|czar|||||dept|jmartin|CLEAN||||||
ellis-rv|129.128.184.26||Linux, Debian|regular|CSC205||G3LY5V1|586996|||greiner,zaiane|NOP|Dell XPS 8500|Intel i7-3770|12|||
ellscott|129.128.23.40||Linux, WPS Ubuntu 16.04|regular|CSC251||CTGP7G1|538415|||paullu|CLEAN||Intel Core2 E8400 @ 3GHz|4|||
endiang|129.128.23.45||Windows, 7|regular|CSC205||CFS5WK1|543294|||hasell,zaiane|CLEAN||Intel Core2 Q9400 @ 2.66GHz|8|||
entwhistle|129.128.4.16||Windows, XP Pro 5.1.2600|regular|ATH353||ACS4304|467917||ghlin|ghlin|CLEAN||AMD MP2600|2|||
esther|129.128.23.150||MacOS, 10.2|regular|CSC305||XB3410BFNVS|460914|||sutton|NA|Apple PowerMac G5| @ 1.8GHz|512MB|||
ethnopred|||Linux, RHEL Server 5.8|virtual||||NA|||hajiloo,greiner|CLEAN||||||
eureka1|129.128.22.27||Linux, Fedora Core 5|cluster|CSC137||SKPLF2??||||steve|CLEAN||AMD Opteron DP250|3.5|||
eureka10|129.128.22.110||Linux, Fedora Core 5|cluster|CSC137||SKPLF2??||||steve|CLEAN||AMD Opteron DP250|3.5|||
eureka11|129.128.22.28||Linux, Fedora Core 5|cluster|CSC137||SKPLF2??||||steve|CLEAN||AMD Opteron DP250|3.5|||
eureka|129.128.22.26||Linux, Fedora Core 5|cluster|CSC137||SO-6000978|||aicml|layola,zaiane,steve|CLEAN||AMD Opteron DP248|6.1|||
f48sdh2|129.128.184.145||dual-boot, Win10/Ubuntu16.04|regular|CSC211||F48SDH2|||zaiane|zaiane|NOP||Intel i7 7700||||
f48vdh2|129.128.184.146||dual-boot, Win10/Ubuntu16.04|regular|CSC211||F48VDH2|||zaiane|zaiane|NOP||Intel i7 7700||||
f48wdh2|129.128.184.142||dual-boot, Win10/Ubuntu16.04|regular|CSC211||F48WDH2|||zaiane|zaiane|NOP||Intel i7 7700||||
f48xdh2|129.128.184.143||dual-boot, Win10/Ubuntu16.04|regular|CSC211||F48XDH2|||zaiane|zaiane|NOP||Intel i7 7700||||
f49tdh2|129.128.184.144||dual-boot, Win10/Ubuntu16.04|regular|CSC211||F49TDH2|||zaiane|zaiane|NOP||Intel i7 7700||||
f492hh2|129.128.184.147||dual-boot, Win10/Ubuntu16.04|regular|CSC211||F492HH2|||zaiane|zaiane|NOP||Intel i7 7700||||
f494hh2|129.128.184.148||dual-boot, Win10/Ubuntu16.04|regular|CSC211||F494HH2|||zaiane|zaiane|NOP||Intel i7 7700||||
fabyan-l|129.128.28.254||OpenBSD, 4.5|alias|fabyan|||||dept|tst|CLEAN||||||
fabyan|129.128.29.234||OpenBSD, 4.5|regular|CSC139|B||no-tag||dept|tst|CLEAN|IBM|||||
falun|129.128.21.14||Linux, openSUSE 42.3|virtual|czar|||||dept|jmartin|||||||
faust-old|||Windows, 7|regular|Off Campus||FH5F5J1|539108||zaiane|zaiane|CLEAN|Dell OptiPlex 960|Intel Core2 E8500 @ 3.15GHz|4|||
faust|129.128.4.60||Windows, 7|regular|ATH443||14222549P|604045||zaiane|zaiane|CLEAN||Intel i5 4590 @ 3.3GHz|16|1000||
fawcett|129.128.4.254||, |network|CSC231||SG646SV00D|503203|||steve|CLEAN|HP|5412zi||||
fedorah1|129.128.21.246||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|SM39625|524467|||mburo|CLEAN||Xeon E5420QC @ 2.5GHz|6|||
fedorah2|129.128.21.247||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|SM39626|524464|||mburo|CLEAN||Xeon E5420QC| @ 2.5GHz|6||
fedorah3|129.128.21.248||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|SM41336||||mburo|CLEAN||Xeon E5420Q @ 2.5GHz|6|||
fedorah4|129.128.21.249||Linux, WPS Ubuntu 16.04|regular|GSB175|F14|SM41504||||mburo|CLEAN||Xeon E5420QC @ 2.5GHz|6|||
ferintosh|129.128.23.174||Linux, Scientific 4.4 (Beryllium)|regular|CSC205||ACS04763|473431|||hasell,zaiane|DIRTY||AMD MP2800|2|||
firebag|129.128.22.23||Linux, Ubuntu 12.04|regular|CSC329|E|ACS05558||||mn,yannis|CLEAN||AMD Opteron 280|8|||
firepoint|192.168.85.125||, ||CSC329|C|SM68259||||mmueller|NOP||||||
fire-creek|192.168.85.129||, |cluster|CSC329|C|SM54578|||585990|mmueller,yannis,steve|NOP||||||
fort-kent|129.128.23.19||, |||||||||||||||
franchere|129.128.23.193||Windows, 7 Ent|regular|CSC205||9FS5WK1|543315|||zaiane|CLEAN|Dell Studio 540|Intel Core2 Q9400 @ 2.66GHz|8|||
froglake|129.128.25.131||Linux, Ubuntu 14|regular|CSC353|||513779|||karteek,martin|CLEAN||Intel i7 4790K|16|||
fs1-r|129.128.22.230||Linux, Ubuntu 12.04|regular|CSC139|A|0909AMR141|537340||dept|tst|CLEAN|SunFire X4540||32|||
fs1-u|129.128.29.230||Linux, Ubuntu 12.04|alias|fs1-r|||||dept|tst|CLEAN||||||
fs2|129.128.21.22||SunOS, unknown|regular|GSB175|F18|1123FMMD23|549672||dept|tst|CLEAN|Oracle 7320|||||
fs3|129.128.21.23||SunOS, unknown|regular|GSB175|F18|1123FMMD28|549673||dept|tst|CLEAN|Oracle 7320|||||
fs4|129.128.4.193||Linux, openSUSE 13.1|regular|CAB311A|C|49S1JC1|512176||dept|tst|CLEAN||Xeon 5110|8|||
fs-ugrad|129.128.243.78||SunOS, unknown|alias|fs2|||||dept|tst|CLEAN||||||
ft-mackay|129.128.25.18||Windows, 7|regular|CSC351||||||nray1|CLEAN||||||
fuego|129.128.25.132||Linux, Ubuntu 14|regular|CSC301|||460690|||jag|CLEAN||Intel i7 4790k|16|||
fw1|129.128.31.51||OpenBSD, 5.4|regular|CSC231|B|B0YQN91|549746||dept|tst|CLEAN|Dell PowerEdge 310|Xeon X3440 @ 2.53GHz|4|||
fw2|129.128.31.52||OpenBSD, 5.4|regular|CSC231|B|F0YQN91|549747||dept|tst|CLEAN|Dell PowerEdge 310|Xeon X3440 @ 2.53GHz|4|||
fws23-b|129.128.23.246||, |network|CSCB31||8148|406481||dept|steve|CLEAN||||||
gadsby|129.128.25.23||Windows, 10|regular|CSC265||3N10RD1|528949|||yang|CLEAN|Dell Dimension 9200|||||
gainford|129.128.23.69||Linux, Ubuntu 14.04|regular|CSC211||MXX9510CQ3|no-tag|||jonathan,mburo|NOP||Intel Core2 Q8300 @ 2.5GHz|8|||
galahad|129.128.25.24||Windows, 10 Home 64-bit|regular|CSC265||4CGQPD2|700205||yang|yang|CLEAN|Alienware Area-51 R2|Intel i7 6900K @ 3.2 GHz|32|4256||
gamebuilder|192.168.85.127||, ||CSC329|C|ACS04592|469352||||NOP||||||
gaps|129.128.21.206||Linux, RHEL Server 7.4|alias|new-sedgewick||||||AppHosting|||||||
garner|129.128.25.84||Windows, 7|regular|CSC265||DGW9L02|586244|||yang|CLEAN|Dell XPS 8700| Intel i7 4770 @ 3.4GHz|24|||
ghost28|129.128.28.249||Linux, openSUSE 13.1|virtual|czar|||||dept|tst|CLEAN||||||
ghostpine|129.128.23.101||, |||||||||||||||
glendon|||Windows, 7|regular|CSC265||2LBGNS1|||yang|yang|CLEAN|Dell XPS 8300|Intel i7 2600 @ 3.4 GHz|16|1000||
glenevis|129.128.25.19||Windows, XP Pro x64 Edition|regular|CSC265||HD031407041|509939|||yang|CLEAN||AMD Opteron 2212|16|||
gleniffer|129.128.25.76||Windows, |regular|CSC363?||ACS05925||||pierreb,wfb|NOP||Intel E6600|2|||
godin-lk|129.128.25.33||Windows, 7|regular|CSC265||J6KXQ31|467926|||yang|CLEAN|Dell P4H| @ 3GHz|2|||
goodfish|129.128.25.20||Windows, 7 Pro SP1|regular|CSC265||41P8VH1|539104|||yang|CLEAN||i7 920|6|||
goodwin-41|129.128.41.247||Windows, Server 2012|regular|CSC231|A|SM55562|586188||dept|tst|NA||Xeon X3440m|8|||
goose-lk|129.128.25.25||Linux, Ubuntu 14.04|regular|CSC315||ACS06176|510079||||CLEAN||AMD Athlon X2 4600+ @ 2.4GHz|4|||
gordondale|129.128.25.64||Windows, 8.1|regular|CSC265||DGWBL02|586245|||yang|CLEAN|Dell XPS 8700|Intel i7 4770 @ 3.4GHz|24|||
granada|129.128.25.29||Windows, 7|regular|CSC265||2L9LNS1||||yang|CLEAN||Intel i7 2600 @ 3.4GHz|16|||
grand|129.128.243.133||Linux, RHEL Server 5.6|regular|GSB175|F17|SM55766|549665||stroulia|stroulia|CLEAN|Silicon Mechanics iServ R143|Xeon 3430 @ 2.4GHz|8|||
grapefruit|129.128.159.200||Linux, Ubuntu 18.04 LTS|regular|ATH357|E|HGQYHQ2|||jwright4|jwright4|CLEAN|Dell Precision 5820 Tower|Intel i7 7820X|16|||
grassland|129.128.25.36||, |unknown|CSC363?||080069105B8D|||||NOP|SGI Octane2||512MB|||
grd101a|129.128.4.3||Linux, WPS Ubuntu 16.04|regular|ATH101||MJPNW43|545589||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd101b|129.128.4.7||Linux, WPS Ubuntu 16.04|regular|ATH101||MJPNW94|545578||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd102a|129.128.4.12||Linux, WPS Ubuntu 16.04|regular|ATH102||MJPNW51|545617||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd102b|129.128.4.144||Linux, WPS Ubuntu 16.04|regular|ATH102||MJPNW59|545609||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd105|129.128.4.19||Linux, WPS Ubuntu 16.04|regular|ATH105||MJPNW38|545576||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd106|129.128.4.27||Linux, WPS Ubuntu 16.04|regular|ATH106||MJPNX33|545621||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd107|129.128.4.34||Linux, WPS Ubuntu 16.04|regular|ATH107||MJPNX22|545581||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd108|129.128.4.35||Linux, WPS Ubuntu 16.04|regular|ATH108||MJPNW41|545590||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd109|129.128.4.37||Linux, WPS Ubuntu 16.04|regular|ATH109||MJPNX51|545592||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd111|129.128.4.40||Linux, WPS Ubuntu 16.04|regular|ATH111||MJPNX36|545602||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd113a|129.128.4.41||Linux, WPS Ubuntu 16.04|regular|ATH113||MJPNW95|545614||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd113b|129.128.4.42||Linux, WPS Ubuntu 16.04|regular|ATH113||MJPNX42|545591||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd117|129.128.4.51||Linux, WPS Ubuntu 16.04|regular|ATH117||MJPNW30|545612||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd120|129.128.4.59||Linux, WPS Ubuntu 16.04|regular|ATH120||MJPNX48|545585||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd121|129.128.4.58||Linux, WPS Ubuntu 16.04|regular|ATH121||MJPNW78|545623||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd123|129.128.4.63||Linux, WPS Ubuntu 16.04|regular|ATH123||MJPNW77|545595||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd124|129.128.4.64||Linux, WPS Ubuntu 16.04|regular|ATH124||MJPNW58|545607||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd128a|129.128.4.65||Linux, WPS Ubuntu 16.04|regular|ATH128||MJPNW49|545586||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd134|129.128.4.74||Linux, WPS Ubuntu 16.04|regular|ATH134||MJPNW89|545605||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd135|129.128.4.78||Linux, WPS Ubuntu 16.04|regular|ATH135||MJPNW55|545603||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd136|129.128.4.83||Linux, WPS Ubuntu 16.04|regular|ATH136||MJPNW75|545606||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd137|129.128.4.85||Linux, WPS Ubuntu 16.04|regular|ATH137||MJPNW54|545597||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd138|129.128.4.88||Linux, WPS Ubuntu 16.04|regular|ATH138||MJPNW44|545577||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd139|129.128.4.89||Linux, WPS Ubuntu 16.04|regular|ATH139||MJPNW46|545587||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd140|129.128.4.90||Linux, WPS Ubuntu 16.04|regular|ATH140||MJPNX39|545616||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd141|129.128.4.107||Linux, WPS Ubuntu 16.04|regular|ATH141||MJPNW76|545618||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd143b|129.128.4.109||Linux, WPS Ubuntu 16.04|regular|ATH143||MJPNX38|545584||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd150|129.128.4.112||Linux, WPS Ubuntu 16.04|regular|ATH150||MJPNW57|545620||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd151|129.128.4.115||Linux, WPS Ubuntu 16.04|regular|ATH151||MJPNW33|545611||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd152|129.128.4.117||Linux, WPS Ubuntu 16.04|regular|ATH152||MJPNW62|545615||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd153|129.128.4.116||Linux, WPS Ubuntu 16.04|regular|ATH153||MJPNW50|no-tag||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd154a|129.128.4.118||Linux, WPS Ubuntu 16.04|regular|ATH154||MJPNW91|545601||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd154b|129.128.4.122||Linux, WPS Ubuntu 16.04|regular|ATH154||MJPNX50|545624||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd155b|129.128.4.125||Linux, WPS Ubuntu 16.04|regular|ATH155||MJPNW40|545604||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd228|129.128.23.192||Linux, WPS Ubuntu 16.04|regular|CSC228||MJPNW56|545579||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd418|129.128.4.135||Linux, WPS Ubuntu 16.04|regular|ATH418||MJPNW73|545596||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd420|129.128.4.134||Linux, WPS Ubuntu 16.04|regular|ATH420||MJPNX34|545610||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd422|129.128.4.136||Linux, WPS Ubuntu 16.04|regular|ATH422||MJPNW26|545622||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grd424|129.128.4.139||Linux, WPS Ubuntu 16.04|regular|ATH424||MJPNW35|545619||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
grdb21|129.128.23.191||Linux, WPS Ubuntu 16.04|regular|CSCB21||MJPNW45|545588||dept|tst|CLEAN|Lenovo M7484|Intel Core2 E8400 @ 3.0GHz|8|||
gregoire|129.128.25.56||Windows, 7|regular|CSC351||8X2G7Y1|586207|||mpolak,zhang|CLEAN||Xeon E5 2620|32|||
groot|||Windows, 10|regular|CSC265||3DKQSD2|604054|||yang|CLEAN|Alienware Aurora R5|Intel i7|16|2000||
gwang|129.128.184.138||Windows, 10|regular|ATH211||12124490|||jiaji|jiaji|NOP|Memory Express|Intel i7 7700|16|1000||
gwynne|129.128.41.233||Linux, RHEL Server 5.11|regular|CSC139|A|GSV6HS1|549726||dept|tst|CLEAN|Dell PowerEdge 510|Xeon E5503 @ 2.00GHZ|8|||
hamlin|129.128.4.159||, |printer|ATH347||1FL7991|||ath347|goebel|CLEAN|Dell 3100c|||||
hanna|||, |regular|CSC315||9CQQPL1|no-tag||dept|dept|CLEAN|Dell Vostro 430|Intel i7 860 @ 2.80 GHz|8|||
hardisty|129.128.29.245||Linux, WPS Ubuntu 16.04|regular|CSC145||CAC91501SM|538268||dept|tst|CLEAN|HP dc7900|Intel Core2 Duo @ 3.16 GHz|4|||
harry|129.128.184.102||dual-boot, Win10/Ubuntu16.04|regular|CSC225||14265008P|604108||locheng|locheng|NOP||||||
hasketh|129.128.184.9||, |wildwest|CSC251|||no-tag|||eochoa|NOP||FPGA||||
haylake|129.128.23.34||, |printer|ATH252B||CNBJL27387|||ath252b|tst|CLEAN|HP|P2015dn||||
heisler|129.128.22.159||Linux, Fedora Core 6 (Zod)|cluster|CSC305A||SKPLF2??||||mmueller,hiso,steve|CLEAN||AMD Opteron DP248|5|||
heldar|129.128.22.40||, |cluster|CSC305A||6001175||||steve|CLEAN||AMD Opteron 2354|8|||
hermione|129.128.184.104||dual-boot, Win10/Ubuntu16.04|regular|CSC225||14265015P|604106||locheng|locheng|NOP||||||
hespero|129.128.4.22||, |printer|ATH126||6T9RG81||||tst|CLEAN|HP|LaserJet 9040||||
highvale|||, |printer|ATH437|||||cs311|netgroup|CLEAN|HP|LaserJet 2200dn||||
himalaya|129.128.25.27||Linux, Ubuntu 14.04|regular|CSC353|||510082||dana|dana,jag|NOP||||||
hip-p1|129.128.23.247||, |||||||||||||||
hip-p2|129.128.23.233||, |||||||||||||||
hip-p3|129.128.4.31||, |||||||||||||||
hoadley|129.128.25.17||, |printer|CSC323?||JPGGC57046|439711||cs323|mn,zaiane|CLEAN|HP|LaserJet 2200dn||||
holden|129.128.23.35||, |printer|ATH234||SCNGKC29979|497726||ath234|tst|CLEAN|HP|LaserJet 2420dn||||
horse-rv|129.128.184.63||Linux, Ubuntu 14.04|regular|CSC351||5SF71J1|no-tag|||mpolak,zhang|NOP|Dell Optiplex|Intel Core2 E8400|4|||
hotchkiss|129.128.23.25||Windows, 10|regular|CSC225||JD7TV52|361516|||lin,anup|CLEAN||Intel i7 4790 @ 3.6GHz|16|||
hpbbd08d|129.128.4.92||, |printer|ATH404||TH615820FH|||ath404|kulchits|CLEAN|HP|Officejet Pro 6830 e-All-in-One||||
huallen|129.128.23.43||Windows, 7|regular|ATH317||14027046P1|505406||dept|tst|CLEAN||Intel Core2 6600 @ 2.40GHz|8|||
huxley|129.128.4.162||, |printer|ATH358||USGW078494|420190||ath358|duane|CLEAN|HP|LaserJet 2100||||
